,Times,CB1,CB,CT1,CT
190,1659,2727,2341,2965,2548
191,1659,2332,2515,2595,2910
192,1659,2521,2327,2976,2626
193,1659,3214,3071,3350,3214
194,1700,1756,2293,1993,2561
195,1700,2657,2272,2965,2559
196,1700,1869,3191,2119,3350
197,1701,2242,2624,2524,2908
198,1701,3210,2609,3350,2895
199,1701,3191,2594,3350,2924
200,1702,3206,2580,3350,2926
201,1702,2199,2570,2889,3054
202,1702,3135,2691,3350,3114
203,1703,2566,2174,2960,2544
204,1703,2171,3110,2827,3350
205,1703,2560,2163,3039,2532
206,1703,2158,2635,2553,3061
207,1704,2154,2634,2485,2909
208,1704,2277,2588,2983,2897
209,1704,2633,2589,2990,3073
210,1705,2330,2773,2912,3063
211,1705,2530,2768,2957,3037
212,1705,2763,2569,2978,2957
213,1706,3161,507,3350,801
214,1706,2505,1746,3080,2074
215,1706,2494,2761,3125,3066
216,1707,2173,2494,2447,2763
217,1707,2183,2581,2448,2825
218,1707,2716,2194,2984,2456
219,1708,2697,2206,2910,2457
220,1708,2679,2218,2913,2427
221,1708,2663,2226,2908,2434
222,1709,2649,2233,2912,2428
223,1709,2643,2240,2913,2429
224,1709,2636,2247,3021,2392
225,1710,2623,2841,2900,3060
226,1710,2611,2829,2983,3060
227,1710,2599,2818,2888,3024
228,1710,2597,2815,2905,3075
229,1711,2589,2807,2963,3021
230,1711,2584,2800,2944,3060
231,1711,2573,2795,2870,3060
232,1712,2565,2793,2860,2985
233,1712,2554,2793,2780,2990
234,1712,2538,2777,2866,3058
235,1713,2552,2766,2995,3016
236,1713,2502,2754,2879,3013
237,1713,2486,3262,3009,3317
238,1714,2472,2733,2966,2997
239,1714,2459,2725,2936,2963
240,1714,2454,2788,2985,2990
241,1714,2442,2822,2991,2955
242,1715,2432,2686,2993,2836
243,1715,2423,2797,2991,2944
244,1715,2417,2791,2952,2935
245,1716,2517,2415,2995,2666
246,1716,2414,2814,2992,3028
247,1716,2415,2755,2950,3021
248,1717,2418,2531,2791,2944
249,1717,2423,2733,3125,2913
250,1717,2417,2807,3003,3046
251,1718,2410,2797,2959,3046
252,1718,2408,2767,2984,2888
253,1718,2407,2621,2707,2927
254,1719,2408,2618,3011,2926
255,1719,2408,2625,2661,2986
256,1719,2407,2625,3128,3028
257,1720,2402,2961,2986,3133
258,1720,2392,1522,3009,1668
259,1720,2387,2768,2635,3006
260,1721,2487,2388,2951,2626
261,1721,2476,2387,2964,2625
262,1721,2387,2413,2964,2787
263,1722,2460,2390,3028,2666
264,1722,2632,2387,3200,2709
265,1722,2389,2873,2680,3200
266,1722,2395,2782,3019,3227
267,1723,2390,2401,3033,2702
268,1723,2394,2456,2685,3022
269,1723,2408,2485,2925,2991
270,1724,2469,2635,3102,3024
271,1724,2447,3231,3075,3350
272,1724,2447,2426,2959,2783
273,1725,2422,2431,2965,2764
274,1725,2407,2471,2977,2981
275,1725,2369,2442,2891,2910
276,1725,2361,2441,2891,2968
277,1726,2335,2434,2890,2673
278,1726,2428,2431,2904,2671
279,1726,2296,2583,2937,3089
280,1727,2283,2728,2898,3007
281,1727,2276,2426,2867,2913
282,1727,2270,2498,2722,3038
283,1728,2284,2476,2872,2834
284,1728,2444,2457,2870,2934
285,1728,2220,2426,2874,2863
286,1729,2463,2433,2875,3066
287,1729,2428,2405,2864,2842
288,1729,2193,2417,2871,2619
289,1730,2179,2412,2867,2999
290,1730,2173,2411,2883,3021
291,1730,2362,2400,3021,3002
292,1731,2171,2381,2894,3003
293,1731,2160,2367,3063,2995
294,1731,2154,2342,2867,2979
295,1732,2148,2317,2962,2639
296,1732,2141,2461,2973,2883
297,1732,2139,2373,2899,2765
298,1733,2137,2269,2889,2629
299,1733,2126,2256,2887,2610
300,1733,2110,2371,2889,2819
301,1733,2071,2235,2887,2680
302,1734,2033,2217,2855,2776
303,1734,1992,2202,2957,2772
304,1734,1955,2357,2829,2690
305,1735,1899,1469,2814,1742
306,1735,1890,2613,2814,2772
307,1735,1877,2739,2808,3061
308,1736,1862,2009,2804,2462
309,1736,1937,1847,2483,2537
310,1736,1825,2778,2811,3093
311,1737,1800,1986,2813,2487
312,1737,1793,2495,2486,2809
313,1737,1775,2760,2608,3086
314,1737,1757,2737,2646,3086
315,1738,1743,2713,2786,3084
316,1738,1732,2773,2753,3083
317,1738,1724,2044,2443,2651
318,1739,1719,2496,2518,2742
319,1739,1714,2084,2503,2734
320,1739,1714,3092,2497,3350
321,1740,1713,2471,2996,2594
322,1740,1717,2352,2722,2553
323,1740,1726,2607,3109,2983
324,1741,1730,2051,2472,2496
325,1741,1729,2312,2945,3052
326,1741,1720,2469,2724,3007
327,1742,1713,2070,2548,2562
328,1742,1706,1895,2448,2540
329,1742,1699,2127,2529,2472
330,1743,1695,2444,2528,2814
331,1743,1693,2078,2525,2429
332,1743,1754,1694,2717,2333
333,1744,1700,2811,2762,3093
334,1744,1701,1961,2328,2707
335,1744,1705,1972,2322,2769
336,1744,1699,1975,2323,2702
337,1745,1678,1952,2094,2599
338,1745,1968,1649,2740,1968
339,1745,1624,3082,2147,3341
340,1746,1602,1976,2113,2765
341,1746,1582,2391,1945,2894
342,1746,1567,1933,2525,2540
343,1747,1552,1602,2066,2145
344,1747,1541,2555,2105,3098
345,1747,1537,2434,2146,3006
346,1748,1539,2384,2516,2810
347,1748,1539,1679,2100,2070
348,1748,1589,2506,2097,3027
349,1748,1560,2538,2103,3072
350,1749,1540,1650,2135,2033
351,1749,1541,2475,2512,2900
352,1749,1544,2531,2103,3052
353,1750,1559,1632,2141,1920
354,1750,1558,1665,2501,2278
355,1750,1558,1662,2497,2143
356,1751,1650,2523,2230,3017
357,1751,1569,1643,2507,2173
358,1751,1580,2073,2083,2571
359,1752,1588,1708,3041,2525
360,1752,1589,2136,2508,3067
361,1752,1594,2094,2417,3037
362,1753,1797,2351,2515,2947
363,1753,1596,1730,2538,2519
364,1753,1649,2510,2947,3029
365,1754,2286,1808,2753,2519
366,1754,1546,2099,2356,2945
367,1754,1727,1505,2323,1841
368,1755,1985,2340,2877,2710
369,1755,1951,1783,2867,2327
370,1755,1934,2456,2967,2990
371,1756,2012,1808,2848,2403
372,1756,1904,3159,2515,3344
373,1756,1915,1531,2825,1785
374,1756,1966,2473,2995,2876
375,1757,1865,1523,2805,1839
376,1757,1540,3173,1894,3350
377,1757,1863,2494,2829,3097
378,1758,1663,3169,1993,3350
379,1758,1823,1655,2285,1888
380,1758,1795,1560,2889,1911
381,1759,1785,1557,2630,1891
382,1759,1769,1569,2537,1886
383,1759,1739,1587,2309,1778
384,1759,1740,1705,2653,2181
385,1800,1668,1638,2107,2117
386,1800,1456,1644,2771,2187
387,1800,1644,1627,2322,2650
388,1801,1440,1657,2298,1984
389,1801,1432,1668,2641,2081
390,1801,1426,1683,2557,1925
391,1802,1424,2274,1993,2619
392,1802,1423,2264,2635,2622
393,1802,1417,1780,2640,2058
394,1803,1492,1411,2649,1860
395,1803,1408,1626,2643,2045
396,1803,1410,2423,2244,2917
397,1804,1463,2504,2242,2951
398,1804,1422,2416,2267,2982
399,1804,1435,2395,2269,2878
400,1805,1437,2370,2335,2947
401,1805,1412,2367,2461,2905
402,1805,1380,2372,2023,2957
403,1806,1354,2378,2340,2872
404,1806,1334,2354,1933,2899
405,1806,1318,2331,2336,2872
406,1807,1305,1749,2985,1944
407,1807,1540,1300,2978,1940
408,1807,1295,3146,2155,3350
409,1807,1287,1513,2343,1866
410,1808,1276,3157,1929,3332
411,1808,1268,2396,1930,3043
412,1808,1268,2589,1870,2942
413,1809,1270,1529,1841,1885
414,1809,1278,1762,1815,2374
415,1809,1291,3162,1798,3350
416,1810,1305,2088,1856,2592
417,1810,1323,1897,1790,2773
418,1810,1328,2127,1691,2768
419,1811,1335,2419,1785,2884
420,1811,1340,1906,1848,2984
421,1811,1871,1346,3009,1872
422,1811,1469,1351,2753,1831
423,1812,1353,1662,2774,1836
424,1812,1412,1357,2515,1809
425,1812,1363,2617,3017,3068
426,1813,1366,1364,2760,1782
427,1813,1354,2485,2203,2899
428,1813,1337,2359,2376,2902
429,1814,1311,1364,2299,1849
430,1814,1292,1368,2041,1869
431,1814,1375,1427,2384,1863
432,1815,1274,1641,2870,1864
433,1815,1277,1641,2642,1856
434,1815,1283,1502,2953,1790
435,1816,1296,1504,2262,1845
436,1816,1306,1514,2542,1838
437,1816,1324,1314,2411,1637
438,1817,1293,1543,2585,1827
439,1817,1254,1594,2401,1821
440,1817,1224,1579,2348,1820
441,1818,1200,2708,2154,3054
442,1818,1176,2366,2126,2965
443,1818,1157,2186,2092,2831
444,1818,1152,1582,2069,1818
445,1819,1140,1475,1684,2073
446,1819,1135,1510,2087,1736
447,1819,1135,2355,1746,2959
448,1820,1347,1372,2011,1656
449,1820,1145,2592,1864,2931
450,1820,1142,2507,1638,3005
451,1821,1142,2509,1956,2994
452,1821,1133,1144,1784,1850
453,1821,1090,1249,1838,1781
454,1822,1047,1270,1890,1777
455,1822,1001,2403,1957,2934
456,1822,991,2394,1955,2933
457,1822,961,2364,1916,2928
458,1823,936,2266,1946,2811
459,1823,917,2243,1378,2994
460,1823,890,2366,1703,3036
461,1824,867,2192,1712,2801
462,1824,852,2294,1700,2993
463,1824,829,1393,1709,2017
464,1825,792,1310,1311,1703
465,1825,749,1502,1430,1707
466,1825,709,1039,1276,1551
467,1826,665,2131,1357,2512
468,1826,667,651,1678,1362
469,1826,608,2091,1451,2441
470,1827,569,1646,1664,2827
471,1827,615,1645,1659,2949
472,1827,530,1641,1617,2850
473,1828,508,1635,1336,2807
474,1828,524,2047,1593,2800
475,1828,489,2043,1436,2798
476,1829,687,485,1387,862
477,1829,462,1577,1508,2770
478,1829,453,1521,2605,2276
479,1830,444,521,1458,1635
480,1830,442,706,1627,1268
481,1830,445,705,1675,1389
482,1830,452,1053,2148,1492
483,1831,446,2281,1672,2712
484,1831,424,2254,1500,2746
485,1831,418,2181,1540,2756
486,1832,421,2194,836,2759
487,1832,419,2180,1523,2668
488,1832,417,535,831,1452
489,1833,572,2145,1604,2878
490,1833,372,2118,1479,2801
491,1833,356,713,1760,1360
492,1833,353,1025,1763,1606
493,1834,349,826,827,1344
494,1834,469,635,1528,1330
495,1834,1994,1203,2603,1584
496,1835,894,1971,1578,2597
497,1835,669,1944,1575,2590
498,1835,312,1913,992,2559
499,1836,309,512,1059,1210
500,1836,308,604,1216,1814
501,1836,1024,545,1562,1317
502,1837,262,1804,808,2523
503,1837,239,1795,893,2499
504,1837,232,953,705,1670
505,1838,212,1731,719,2470
506,1838,567,196,1316,613
507,1838,880,170,1661,569
508,1839,579,339,1713,1355
509,1839,291,109,1533,971
510,1839,322,77,2379,950
511,1840,47,946,1399,2368
512,1840,20,239,1113,1516
513,1840,393,0,2349,1391
514,1841,0,994,993,2197
515,1841,0,196,2348,1418
516,1841,280,1115,1134,2117
517,1841,0,1399,1412,2362
518,1842,932,0,2404,1440
519,1842,762,676,2122,1515
520,1842,915,0,2331,925
521,1843,360,1394,1093,2106
522,1843,0,0,1345,954
523,1843,322,2484,1412,3024
524,1844,490,0,2178,495
525,1844,0,0,2255,878
526,1844,270,1406,1201,2268
527,1845,249,0,1706,1331
528,1845,0,1458,1007,2258
529,1845,577,38,2268,610
530,1845,0,1273,1088,2293
531,1846,128,1280,1280,2186
532,1846,548,1364,1144,2192
533,1846,0,0,2236,1151
534,1847,0,94,2176,720
535,1847,0,979,1001,2384
536,1847,481,176,1187,924
537,1848,633,415,2373,1181
538,1848,71,1211,1166,2371
539,1848,624,74,2368,1123
540,1849,1149,562,2365,1040
541,1849,80,0,1911,517
542,1849,0,1063,1075,2383
543,1850,95,0,1020,726
544,1850,353,3012,2388,3291
545,1850,588,0,2393,482
546,1851,444,0,2382,656
547,1851,549,0,2113,487
548,1851,0,790,852,1902
549,1852,354,0,2393,467
550,1852,0,2995,2434,3230
551,1852,0,635,691,1702
552,1852,626,0,1871,694
553,1853,338,1759,1758,2465
554,1853,504,1711,1711,2245
555,1853,311,1494,972,2537
556,1854,293,0,2398,406
557,1854,1252,276,2541,690
558,1854,117,1539,1523,2180
559,1855,0,46,870,502
560,1855,205,147,2548,507
561,1855,69,1057,1063,2072
562,1856,85,1494,1495,2569
563,1856,64,3025,2180,3291
564,1856,197,148,2562,568
565,1857,153,3027,2561,3220
566,1857,93,114,854,571
567,1857,32,2345,1510,3009
568,1858,0,2176,1358,2925
569,1858,261,129,2365,570
570,1858,1218,2523,2338,2967
571,1859,0,2452,438,2969
572,1859,576,0,2565,574
573,1859,2231,307,3025,1631
574,1900,1345,2467,2548,3068
575,1900,0,1831,535,2559
576,1900,0,1925,1797,2562
577,1900,2416,0,3058,434
578,1901,0,1842,1223,2522
579,1901,0,2170,2477,3010
580,1901,2180,1199,2998,2417
581,1902,280,0,1198,431
582,1902,0,2209,2116,3020
583,1902,2167,196,3013,1559
584,1903,0,0,1632,419
585,1903,515,2320,2237,2838
586,1903,252,2207,2214,2779
587,1904,854,2767,2201,2990
588,1904,224,0,2192,450
589,1904,886,0,2179,491
590,1904,2182,372,2988,1573
591,1905,0,2405,1975,2868
592,1905,0,0,1577,489
593,1905,0,0,1777,488
594,1906,0,1989,1783,2661
595,1906,0,2588,1580,2922
596,1906,0,2559,1787,2913
597,1907,1027,0,1805,889
598,1907,661,2074,1808,2826
599,1907,688,1809,1815,2514
600,1908,413,2179,1281,2826
601,1908,0,2455,1965,2831
602,1908,1113,2440,1934,2901
603,1909,0,2412,1567,2868
604,1909,0,2400,1551,2861
605,1909,0,2393,1539,2830
606,1910,372,2443,1521,2915
607,1910,387,2372,1513,2904
608,1910,0,2417,1632,2855
609,1911,0,2363,1455,2954
610,1911,0,1845,1567,2610
611,1911,328,2444,1571,2931
612,1911,334,1989,1515,2680
613,1912,197,2408,1565,2895
614,1912,0,1760,1561,2509
615,1912,482,1743,1558,2519
616,1913,230,2344,1517,2845
617,1913,0,1876,1383,2550
618,1913,2300,1126,2903,1528
619,1914,243,2556,1533,2955
620,1914,0,1200,1208,1536
621,1914,2506,568,2893,1131
622,1915,599,2255,1546,2876
623,1915,0,2502,1571,2880
624,1915,874,2077,1583,2650
625,1916,164,1191,1210,1586
626,1916,257,2497,1489,2866
627,1916,229,2528,1722,2785
628,1917,367,673,1560,1019
629,1917,40,2570,1766,2855
630,1917,120,2442,1603,2862
631,1918,489,2410,1593,2853
632,1918,592,2432,1860,2818
633,1918,1018,2473,1865,2874
634,1919,750,2428,1868,2873
635,1919,569,2400,1855,2870
636,1919,1196,2271,1849,2802
637,1919,105,2246,1846,2795
638,1920,892,2229,1818,2787
639,1920,600,1156,1241,1789
640,1920,605,2334,1751,2853
641,1921,489,2149,1584,2762
642,1921,879,2349,1711,2757
643,1921,986,2080,1683,2739
644,1922,834,2049,1620,2750
645,1922,810,2233,1569,2816
646,1922,618,2230,1439,2783
647,1923,514,1999,1438,2677
648,1923,852,1986,1437,2526
649,1923,850,2176,1441,2700
650,1923,579,1962,1435,2523
651,1924,947,2345,1438,2695
652,1924,663,2391,1339,2715
653,1924,917,2152,1454,2652
654,1925,296,2128,1283,2486
655,1925,413,2231,1438,2703
656,1925,2153,887,2637,1454
657,1926,717,2000,1361,2686
658,1926,2181,860,2638,1434
659,1926,845,2087,1422,2619
660,1927,840,2097,1412,2621
661,1927,828,1993,1404,2532
662,1927,2129,819,2655,1337
663,1928,813,468,1372,1137
664,1928,735,2098,1359,2646
665,1928,609,803,1274,1330
666,1929,318,2142,1329,2537
667,1929,665,798,1298,1353
668,1929,776,2117,1414,2408
669,1930,800,893,1551,1252
670,1930,517,2232,1562,2576
671,1930,794,834,1484,1235
672,1930,566,2237,1487,2564
673,1931,743,2230,1567,2605
674,1931,779,2228,1573,2591
675,1931,723,2225,1576,2633
676,1932,692,2278,1577,2655
677,1932,648,2186,1583,2490
678,1932,632,2404,1582,2704
679,1933,592,2144,1034,2640
680,1933,487,795,1010,1576
681,1933,490,2112,1592,2657
682,1934,481,2119,1612,2652
683,1934,0,2091,1403,2594
684,1934,52,2088,1619,2639
685,1934,831,398,1626,894
686,1935,329,2068,1583,2624
687,1935,320,2005,997,2455
688,1935,301,967,992,1612
689,1936,278,2064,1595,2604
690,1936,885,341,1329,950
691,1936,243,2254,1593,2593
692,1937,154,2175,1538,2591
693,1937,170,2058,1435,2461
694,1937,187,927,721,1586
695,1938,196,2099,1384,2521
696,1938,188,2057,1571,2441
697,1938,170,2065,1647,2503
698,1939,146,1074,1041,1648
699,1939,143,125,1502,441
700,1939,607,108,1588,613
701,1940,43,967,1008,1333
702,1940,69,1998,1604,2268
703,1940,713,56,1489,756
704,1941,45,1884,1586,2276
705,1941,42,1998,1595,2484
706,1941,44,1839,1564,2226
707,1942,39,871,870,1613
708,1942,42,908,993,1439
709,1942,301,38,1253,404
710,1942,1780,36,2300,667
711,1943,37,1756,1061,2157
712,1943,418,68,1216,402
713,1943,49,1710,410,2020
714,1944,59,862,380,1341
715,1944,74,547,582,1188
716,1944,88,1429,572,1697
717,1945,101,1812,737,2111
718,1945,435,119,1126,362
719,1945,257,1794,1319,2087
720,1946,130,1388,1163,1729
721,1946,385,130,1111,426
722,1946,116,1627,1142,1962
723,1947,101,2179,739,2551
