,Datetimes,Distance
0,2022-07-31T16:02:36.008494080,35.19080109401749
1,2022-07-31T16:07:36.009058048,35.19080109401749
2,2022-07-31T16:12:36.010670976,34.86001601758657
3,2022-07-31T16:17:36.009006080,34.86001601758657
4,2022-07-31T16:22:36.006643072,2.9963856628398267
5,2022-07-31T16:27:36.008440064,2.9963856628398267
6,2022-07-31T16:32:36.013371008,5.7536762975567415
7,2022-07-31T16:37:36.011929984,2.9963856628398267
8,2022-07-31T16:42:36.010045952,2.9963856628398267
9,2022-07-31T16:47:36.010373888,7.828709684148953
10,2022-07-31T16:52:36.008572032,6.058515778699054
11,2022-07-31T16:57:36.014147072,5.192549197411673
12,2022-07-31T17:02:36.011316992,25.00982625938653
13,2022-07-31T17:07:36.013746944,26.796974395664332
14,2022-07-31T17:12:36.011281920,6.360233421655469
15,2022-07-31T17:17:36.012456064,24.119450297848612
16,2022-07-31T17:22:36.010427008,20.58571583760224
17,2022-07-31T17:27:36.012861952,25.113150262252038
18,2022-07-31T17:32:36.010256000,24.256041675094433
19,2022-07-31T17:37:36.011793024,23.456388238024722
20,2022-07-31T17:42:36.012840064,23.33736534089929
21,2022-07-31T17:47:36.010017024,24.256041675094433
22,2022-07-31T17:52:36.016155008,24.256041675094433
23,2022-07-31T17:57:36.013606016,23.456388238024722
24,2022-07-31T18:02:36.015142016,23.456388238024722
25,2022-07-31T18:07:36.013411968,23.456388238024722
26,2022-07-31T18:12:36.014062976,23.456388238024722
27,2022-07-31T18:17:36.015222016,24.192018064960976
28,2022-07-31T18:22:36.018322944,24.192018064960976
29,2022-07-31T18:27:36.015022080,25.444260529952764
30,2022-07-31T18:32:36.017657984,23.848685078654416
31,2022-07-31T18:37:36.015112064,23.33736534089929
32,2022-07-31T18:42:36.016381952,23.848685078654416
33,2022-07-31T18:47:36.014161920,23.848685078654416
34,2022-07-31T18:52:36.015442048,21.629691481692117
35,2022-07-31T18:57:36.016641024,24.192018064960976
36,2022-07-31T19:02:36.015454976,26.139714205109808
37,2022-07-31T19:07:36.016176000,26.49892409416176
38,2022-07-31T19:12:36.014116992,25.65986896561673
39,2022-07-31T19:17:36.016605056,26.49892409416176
40,2022-07-31T19:22:36.016780928,22.346368934869723
41,2022-07-31T19:27:36.019332992,23.23153347399106
42,2022-07-31T19:32:36.017025024,23.23153347399106
43,2022-07-31T19:37:36.018329088,21.428876597986292
44,2022-07-31T19:42:36.018755968,21.159919428413183
45,2022-07-31T19:47:36.018388096,26.796974395664332
46,2022-07-31T19:52:36.018735104,19.58705497542011
47,2022-07-31T19:57:36.020542080,25.174937649467292
