object,actual_height,distance_min,pixel_height_bottom,pixel_height_top,pixel_range
purple_nalgene,21,56,822,1480,5
grey_nalgene,21,45,
candle,8,34.7,738,1178,5
tape_measure,5,69.5,826,974,8
