,Time,distance_to_cloud,CB1,CB2,CB3,CT1,CT2,CT3
0,2022-07-25-1704,28,4.91,4.66,4.67,6.13,8.44,6.8
1,2022-07-31-1732,27,4.6,4.8,5.44,7.85,7.24,7.1
2,2022-07-31-1733,27,4.62,4.63,5.0,5.73,7.93,7.5
3,2022-07-31-1737,27,4.97,4.78,6.06,5.98,8.94,7.7
4,2022-07-31-1741,27,5.08,4.79,6.17,6.45,9.13,7.73
