,object,actual_size,size,error
0,purple_nalgene,21,20.999999999999996,1.6527355623100304
1,grey_nalgene,21,,
2,candle,8,8.059999999999999,2.5772858265653653
3,tape_measure,5,6.0,6.12482986583706
