,object,actual_size,size,error,error_est
0,purple_nalgene,21,19.73,93.95238095238095,2.691511387163561
1,grey_nalgene,21,22.35,106.42857142857143,2.864895744073122
2,candle,8,7.309999999999999,91.37499999999999,4.396995895554973
3,tape_measure,5,5.549999999999997,110.99999999999994,7.83884892086331
