,Time,distance_to_cloud,CB1,CB2,CB3,CT1,CT2,CT3
0,2022-07-25-1704,26,4.66,4.42,4.44,5.79,7.94,6.42
1,2022-07-31-1732,20,3.79,3.93,4.4,6.19,5.74,5.64
2,2022-07-31-1733,21,3.92,3.92,4.21,4.78,6.49,6.16
3,2022-07-31-1737,21,4.19,4.03,5.03,4.97,7.28,6.31
4,2022-07-31-1741,21,4.27,4.05,5.12,5.34,7.42,6.33
