,Time,distance_to_cloud,CB1,CB2,CB3,CT1,CT2,CT3
0,2022-07-25-1704,36,7.22,6.83,6.83,9.25,13.11,10.37
1,2022-07-31-1732,30,6.01,7.22,7.22,10.7,9.81,9.62
2,2022-07-31-1733,31,6.19,6.75,6.75,7.85,11.12,10.5
3,2022-07-31-1737,30,6.54,8.11,8.11,7.99,12.29,10.5
4,2022-07-31-1741,31,6.87,8.5,8.5,8.93,12.92,10.83
