,Time,CB1,CB2,CB3,CT1,CT2,CT3
0,2022-07-25-1704,4.489627507163323,4.126991404011462,4.126991404011462,7.355415472779369,9.078739255014327,7.085845272206303
1,2022-07-25-1704,4.10028653295129,5.189570200573066,5.189570200573066,8.327449856733525,7.535243553008596,7.352664756446991
2,2022-07-25-1704,4.323094555873926,5.437134670487106,5.437134670487106,5.98487106017192,8.380057306590258,7.37432664756447
3,2022-07-25-1704,4.583037249283667,5.997249283667621,5.997249283667621,5.885845272206304,9.754040114613181,8.141776504297994
4,2022-07-25-1704,4.722292263610314,6.1426934097421215,6.1426934097421215,6.510945558739255,9.992320916905443,8.166532951289398
