,Time,CB1,CB2,CB3,CT1,CT2,CT3
0,2022-07-25-1704,5.772378223495702,5.306131805157594,5.306131805157594,9.456962750716333,11.672664756446991,9.110372492836676
1,2022-07-25-1704,4.555873925501433,5.766189111747852,5.766189111747852,9.252722063037249,8.372492836676217,8.169627507163323
2,2022-07-25-1704,4.963553008595989,6.242636103151863,6.242636103151863,6.871518624641834,9.621547277936962,8.466819484240688
3,2022-07-25-1704,5.092263610315186,6.663610315186246,6.663610315186246,6.539828080229227,10.837822349570201,9.046418338108882
4,2022-07-25-1704,5.421891117478509,7.052722063037249,7.052722063037249,7.475530085959885,11.47266475644699,9.376389684813752
